0.012	0.1227
0.013	0.1192
0.014	0.1195
0.015	0.1098
0.016	0.1115
0.017	0.1059
0.018	0.1052
0.019	0.103
0.02	0.0973
0.02101	0.0939
0.02206	0.0922
0.02317	0.0884
0.02432	0.0826
0.02554	0.0813
0.02682	0.0755
0.02816	0.0721
0.02957	0.069
0.03105	0.065
0.0326	0.0605
0.03423	0.0555
0.03594	0.0514
0.03774	0.0473
0.03962	0.0419
0.0416	0.0376
0.04368	0.0351
0.04587	0.0311
0.04816	0.027
0.05057	0.024
0.0531	0.0219
0.05575	0.0194
0.05854	0.0169
0.06147	0.0159
0.06454	0.0141
0.06777	0.0129
0.07116	0.0115
0.07471	0.0107
0.07845	0.0098
0.08237	0.009
0.08649	0.008
0.09081	0.0071
0.09536	0.0065
0.10012	0.0056
0.10513	0.0045
0.11039	0.0039
0.11591	0.0034
0.1217	0.0029
0.12779	0.0023
0.13417	0.0019
0.14088	0.0021
0.14793	0.0017
0.15532	0.0013
0.16309	0.0014
0.17124	0.001
0.17981	0.001
0.1888	0.0007
0.19824	0.0003
0.012	0.1227
0.013	0.1192
0.014	0.1195
0.015	0.1098
0.016	0.1115
0.017	0.1059
0.018	0.1052
0.019	0.103
0.02	0.0973
0.02101	0.0939
0.02206	0.0922
0.02317	0.0884
0.02432	0.0826
0.02554	0.0813
0.02682	0.0755
0.02816	0.0721
0.02957	0.069
0.03105	0.065
0.0326	0.0605
0.03423	0.0555
0.03594	0.0514
0.03774	0.0473
0.03962	0.0419
0.0416	0.0376
0.04368	0.0351
0.04587	0.0311
0.04816	0.027
0.05057	0.024
0.0531	0.0219
0.05575	0.0194
0.05854	0.0169
0.06147	0.0159
0.06454	0.0141
0.06777	0.0129
0.07116	0.0115
0.07471	0.0107
0.07845	0.0098
0.08237	0.009
0.08649	0.008
0.09081	0.0071
0.09536	0.0065
0.10012	0.0056
0.10513	0.0045
0.11039	0.0039
0.11591	0.0034
0.1217	0.0029
0.12779	0.0023
0.13417	0.0019
0.14088	0.0021
0.14793	0.0017
0.15532	0.0013
0.16309	0.0014
0.17124	0.001
0.17981	0.001
0.1888	0.0007
0.19824	0.0003
